"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20190815","11000","서울시","10902842.50730","10327979.28930","409362.38780","165500.83020","10994939.75430","10797373.74420","10904381.20890","10901743.43480","4713308.54370","1053632.99110","2012613.54060","1647062.01200"
"20190815","11110","종로구","308635.03140","279919.46520","15274.30150","13441.26470","415937.27170","245953.52750","370012.78260","264793.78050","228417.15650","77260.60240","30384.53050","120772.02360"
"20190815","11140","중구","323946.84870","249308.06980","24700.81230","49937.96660","434559.38400","254301.70690","382862.92400","281863.93780","235378.34800","76104.88830","30436.17110","128837.28860"
"20190815","11170","용산구","310768.83680","278897.46060","22106.22130","9765.15490","336020.82310","287306.52330","327699.56660","298675.45840","153654.31560","44341.86340","41987.00600","67325.44620"
"20190815","11200","성동구","343213.37960","326424.28840","14971.90470","1817.18650","348357.33500","337358.29600","341017.28770","344782.01670","149427.60930","25843.73450","61352.49790","62231.37690"
"20190815","11215","광진구","398762.34170","374224.39180","22696.40070","1841.54920","410234.01270","384352.79350","389780.09960","405178.22890","156621.97460","30772.12630","72492.09490","53357.75340"
"20190815","11230","동대문구","369874.42150","348082.61880","18491.45580","3300.34690","380811.16740","358581.80060","364092.42550","374004.41860","150687.05780","24154.28410","67908.42790","58624.34580"
"20190815","11260","중랑구","371562.83140","364932.86570","6200.88230","429.08340","392824.96690","344988.32700","353800.45320","384250.24440","137416.75070","22055.80150","82644.05950","32716.88970"
"20190815","11290","성북구","441130.00900","425730.63120","12717.35970","2682.01810","461691.87740","411145.59680","423463.19500","453749.16180","156595.69460","20342.54920","82200.59200","54052.55340"
"20190815","11305","강북구","311490.00220","305719.77800","5094.65810","675.56600","330978.58980","288601.95020","296120.80680","322467.99890","159333.70310","11360.69640","109263.05160","38709.95510"
"20190815","11320","도봉구","284779.69250","281488.87600","2798.95140","491.86520","300179.04910","263415.91200","271572.42180","294213.45730","119375.15920","15918.77880","72185.33040","31271.05000"
"20190815","11350","노원구","524932.88720","518885.31760","5049.22520","998.34430","548424.35240","493329.53380","503891.98910","539962.10010","191335.88180","28463.72200","115589.51540","47282.64440"
"20190815","11380","은평구","458226.83310","449854.10730","7351.11450","1021.61120","488350.67690","424127.47940","434638.74060","475075.47050","161145.46990","26850.00720","102292.98650","32002.47620"
"20190815","11410","서대문구","386063.44850","352293.33160","23050.12850","10719.98840","390286.70160","381341.02140","383657.42150","387782.03930","160850.13770","31185.04440","61454.54290","68210.55040"
"20190815","11440","마포구","492236.66580","453990.03700","23005.03610","15241.59270","526712.88630","470784.66130","496189.42450","489413.26670","224846.01590","52941.20730","77806.98690","94097.82170"
"20190815","11470","양천구","405286.09120","398422.30010","6036.88880","826.90230","424104.01080","379045.74810","388626.79160","417185.59090","161722.16330","23578.84240","87319.36440","50823.95650"
"20190815","11500","강서구","549640.37300","531993.07080","10685.31970","6961.98250","573575.34560","524000.55570","533550.96700","561132.80590","209658.72300","49179.93510","111916.76230","48562.02560"
"20190815","11530","구로구","415954.94230","382640.89580","29689.01870","3625.02780","430642.75490","394034.98430","403241.81790","425035.74550","163692.65300","47394.52440","68207.42510","48090.70350"
"20190815","11545","금천구","220706.66190","201853.16630","17192.06160","1661.43400","225802.02190","215856.52730","219121.82470","221838.68850","99179.45470","28594.37880","43061.07720","27523.99870"
"20190815","11560","영등포구","474391.95030","429324.80930","38498.02660","6569.11440","496066.70860","453180.17850","485331.86550","466577.72520","231563.98320","55914.60930","80087.42760","95561.94630"
"20190815","11590","동작구","410266.99620","394190.04670","14320.77900","1756.17050","435192.03930","380096.10840","390748.50210","424208.77770","142215.70340","25572.75960","62686.96910","53955.97470"
